review_id,case_id,pool,engine,method_id,route_id,atom_id,atom_type,stage_a_status,stage_b_status,evidence_refs,review_reason,suggested_review_action,diagnostic_only,official_pocr_computed
pocr_review_0253681e5387,PERF_0077,PERF,postgres,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,A1,operation_atom,implemented,transformation_supported,"source_candidate_diff:changed | candidate_sql_span:FROM title AS t
JOIN movie_info AS mi
  ON t.id = mi.movie_id
JOIN movie_keyword AS mk
  ON t.id = mk.movie_id
 AND mk.movie_id = mi.movie_id
JOIN keyword AS k
  ON k.id = mk.keyword_id | positive_sql_span:FROM movie_info AS mi
JOIN movie_keyword AS mk ON mk.movie_id = mi.movie_id
JOIN keyword AS k ON k.id = mk.keyword_id
JOIN title AS t ON t.id = mi.movie_id AND t.id = mk.movie_id",transformation_supported_atom,inspect_candidate_source_diff,true,false
pocr_review_0c2350b668dd,PERF_0034,PERF,postgres,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,A1,operation_atom,implemented,transformation_supported,"candidate_sql_span:with filtered_items as (
    select i_item_sk, i_item_id
    from item
    where i_color in ('orchid', 'chiffon', 'lace')
) | positive_sql_span:with selected_items as (
    select
        i_item_sk,
        i_item_id
    from item
    where i_color in ('orchid', 'chiffon', 'lace')
) | source_candidate_diff:changed",transformation_supported_atom,inspect_candidate_source_diff,true,false
pocr_review_0d47a2f1fa35,PERF_0008,PERF,postgres,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,A3,operation_atom,implemented,transformation_supported,"candidate_sql_span:FROM orders o
JOIN customer c
    ON c.c_custkey = o.o_custkey
JOIN lineitem l
    ON l.l_orderkey = o.o_orderkey | source_sql_span:from
	customer,
	orders,
	lineitem | positive_sql_span:join (
    select
        o_orderkey,
        o_custkey,
        o_orderdate,
        o_shippriority
    from orders
    where o_orderdate < date '1995-03-27'
) orders_filtered
  on customer_filtered.c_custkey = orders_filtered.o_custkey
join lineitem
  on orders_filtered.o_orderkey = lineitem.l_orderkey | source_candidate_diff:changed",transformation_supported_atom,inspect_candidate_source_diff,true,false
pocr_review_0f453be1c185,PERF_0013,PERF,postgres,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,,,malformed_json,not_run,,malformed_json,retry_annotation,true,false
pocr_review_11015387a864,CONS_0036,CONS,postgres,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,A2,operation_atom,implemented,transformation_supported,candidate_sql_span:WHERE NAME = 'Charlie' | candidate_sql_span:COUNT(*) AS C | positive_sql_span:WHERE NAME = 'Charlie' GROUP BY NAME | source_candidate_diff:changed,transformation_supported_atom,inspect_candidate_source_diff,true,false
pocr_review_18374821fd4c,PERF_0062,PERF,postgres,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,A3,semantic_guard_atom,implemented,lint_only,"candidate_sql_span:WHERE d.d_year = 2001
  AND (
    (cd.cd_marital_status = 'D'
     AND cd.cd_education_status = '2 yr Degree'
     AND ss.ss_sales_price BETWEEN 100.00 AND 150.00
     AND hd.hd_dep_count = 3)
    OR
    (cd.cd_marital_status = 'S'
     AND cd.cd_education_status = 'Secondary'
     AND ss.ss_sales_price BETWEEN 50.00 AND 100.00
     AND hd.hd_dep_count = 1)
    OR
    (cd.cd_marital_status = 'W'
     AND cd.cd_education_status = 'Advanced Degree'
     AND ss.ss_sales_price BETWEEN 150.00 AND 200.00
     AND hd.hd_dep_count = 1)
  )
  AND (
    (ca.ca_country = 'United States'
     AND ca.ca_state IN ('CO', 'IL', 'MN')
     AND ss.ss_net_profit BETWEEN 100 AND 200)
    OR
    (ca.ca_country = 'United States'
     AND ca.ca_state IN ('OH', 'MT', 'NM')
     AND ss.ss_net_profit BETWEEN 150 AND 300)
    OR
    (ca.ca_country = 'United States'
     AND ca.ca_state IN ('TX', 'MO', 'MI')
     AND ss.ss_net_profit BETWEEN 50 AND 250)
  )",evidence_ref_linter:evidence_ref_too_long:warning,inspect_candidate_source_diff,true,false
pocr_review_19abc6fef83d,PERF_0056,PERF,postgres,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,A1,operation_atom,implemented,transformation_supported,"candidate_sql_span:FROM customer_address a
JOIN customer c
  ON a.ca_address_sk = c.c_current_addr_sk
JOIN store_sales s
  ON c.c_customer_sk = s.ss_customer_sk
JOIN date_dim d
  ON s.ss_sold_date_sk = d.d_date_sk
JOIN item i
  ON s.ss_item_sk = i.i_item_sk | positive_sql_span:from customer_address a
join customer c on a.ca_address_sk = c.c_current_addr_sk
join store_sales s on c.c_customer_sk = s.ss_customer_sk
join date_dim d on s.ss_sold_date_sk = d.d_date_sk
join item i on s.ss_item_sk = i.i_item_sk | source_candidate_diff:changed",transformation_supported_atom,inspect_candidate_source_diff,true,false
pocr_review_1c3e452a471b,PERF_0033,PERF,postgres,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,,,malformed_json,not_run,,malformed_json,retry_annotation,true,false
pocr_review_1ccf35609ceb,CONS_0036,CONS,postgres,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,A1,operation_atom,implemented,transformation_supported,source_sql_span:HAVING NAME = 'Charlie' | candidate_sql_span:WHERE NAME = 'Charlie' | positive_sql_span:WHERE NAME = 'Charlie' | source_candidate_diff:changed,transformation_supported_atom,inspect_candidate_source_diff,true,false
pocr_review_20e19519e35c,LONGTAIL_0013,LONGTAIL,postgres,direct_llm_repair_1,direct_llm_repair_1_pg40_pocr_diagnostic,A2,operation_atom,implemented,insufficient_transformation_evidence,candidate_sql_span:ROW_NUMBER() OVER (PARTITION BY p.OwnerUserId ORDER BY p.Score DESC) AS rank_value | candidate_sql_span:LEFT JOIN RankedPosts rp | candidate_sql_span:AND rp.rank_value = 1 | candidate_sql_span:LEFT JOIN Posts bp | positive_sql_span:ROW_NUMBER() OVER (PARTITION BY p.OwnerUserId ORDER BY p.Score DESC) AS rank_value | source_candidate_diff:changed,possible_under_accept,inspect_candidate_source_diff,true,false
