case_id,pool,engine,method_id,route_id,denominator_id,pair_id,pair_type,logical_pair_type,pair_role,source_sql_path,candidate_sql_path,schema_source_path,sqlsolver_left_input_path,sqlsolver_right_input_path,sqlsolver_schema_input_path,verifier_tool,verifier_mode,raw_output,normalized_verdict,invocation_status,runtime_ms,timeout_seconds,raw_stdout_path,raw_stderr_path,raw_output_path,result_checker_exactness_used,local_only,official_metric_input,paper_result
PERF_0006,PERF,postgres,sqlglot_noop,noop,track_a_same_engine:PERF_0006:postgres,perf_0006__postgres__sqlglot_noop__source_vs_source__sqlsolver,source_vs_candidate,source_vs_source,identity_sanity,cases/PERF/PERF_0006/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0006__postgres.sql,schemas/tpch_common_core_v0/postgres/ddl.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0006/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0006/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0006/schema.sql,sqlsolver,jar_cli,EQ,equivalent,completed,1183.5885420441628,30,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0006/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0006/verifier/tools/sqlsolver/perf_0006__postgres__sqlglot_noop__source_vs_source__sqlsolver/raw_stdout.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0006/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0006/verifier/tools/sqlsolver/perf_0006__postgres__sqlglot_noop__source_vs_source__sqlsolver/raw_stderr.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0006/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0006/verifier/tools/sqlsolver/perf_0006__postgres__sqlglot_noop__source_vs_source__sqlsolver/sqlsolver_output.txt,false,true,false,false
PERF_0006,PERF,postgres,sqlglot_noop,noop,track_a_same_engine:PERF_0006:postgres,perf_0006__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver,source_vs_candidate,candidate_vs_candidate,identity_sanity,cases/PERF/PERF_0006/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0006__postgres.sql,schemas/tpch_common_core_v0/postgres/ddl.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0006/candidate.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0006/candidate.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0006/schema.sql,sqlsolver,jar_cli,EQ,equivalent,completed,1005.2327680168673,30,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0006/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0006/verifier/tools/sqlsolver/perf_0006__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver/raw_stdout.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0006/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0006/verifier/tools/sqlsolver/perf_0006__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver/raw_stderr.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0006/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0006/verifier/tools/sqlsolver/perf_0006__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver/sqlsolver_output.txt,false,true,false,false
PERF_0006,PERF,postgres,sqlglot_noop,noop,track_a_same_engine:PERF_0006:postgres,perf_0006__postgres__sqlglot_noop__source_vs_candidate__sqlsolver,source_vs_candidate,source_vs_candidate,method_candidate_verification,cases/PERF/PERF_0006/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0006__postgres.sql,schemas/tpch_common_core_v0/postgres/ddl.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0006/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0006/candidate.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0006/schema.sql,sqlsolver,jar_cli,EQ,equivalent,completed,1000.2957290271297,30,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0006/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0006/verifier/tools/sqlsolver/perf_0006__postgres__sqlglot_noop__source_vs_candidate__sqlsolver/raw_stdout.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0006/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0006/verifier/tools/sqlsolver/perf_0006__postgres__sqlglot_noop__source_vs_candidate__sqlsolver/raw_stderr.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0006/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0006/verifier/tools/sqlsolver/perf_0006__postgres__sqlglot_noop__source_vs_candidate__sqlsolver/sqlsolver_output.txt,false,true,false,false
PERF_0007,PERF,postgres,sqlglot_noop,noop,track_a_same_engine:PERF_0007:postgres,perf_0007__postgres__sqlglot_noop__source_vs_source__sqlsolver,source_vs_candidate,source_vs_source,identity_sanity,cases/PERF/PERF_0007/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0007__postgres.sql,schemas/tpch_perf0007_v0/postgres/ddl.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0007/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0007/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0007/schema.sql,sqlsolver,jar_cli,EQ,equivalent,completed,1123.164011980407,30,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0007/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0007/verifier/tools/sqlsolver/perf_0007__postgres__sqlglot_noop__source_vs_source__sqlsolver/raw_stdout.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0007/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0007/verifier/tools/sqlsolver/perf_0007__postgres__sqlglot_noop__source_vs_source__sqlsolver/raw_stderr.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0007/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0007/verifier/tools/sqlsolver/perf_0007__postgres__sqlglot_noop__source_vs_source__sqlsolver/sqlsolver_output.txt,false,true,false,false
PERF_0007,PERF,postgres,sqlglot_noop,noop,track_a_same_engine:PERF_0007:postgres,perf_0007__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver,source_vs_candidate,candidate_vs_candidate,identity_sanity,cases/PERF/PERF_0007/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0007__postgres.sql,schemas/tpch_perf0007_v0/postgres/ddl.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0007/candidate.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0007/candidate.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0007/schema.sql,sqlsolver,jar_cli,EQ,equivalent,completed,1096.6088520362973,30,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0007/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0007/verifier/tools/sqlsolver/perf_0007__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver/raw_stdout.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0007/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0007/verifier/tools/sqlsolver/perf_0007__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver/raw_stderr.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0007/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0007/verifier/tools/sqlsolver/perf_0007__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver/sqlsolver_output.txt,false,true,false,false
PERF_0007,PERF,postgres,sqlglot_noop,noop,track_a_same_engine:PERF_0007:postgres,perf_0007__postgres__sqlglot_noop__source_vs_candidate__sqlsolver,source_vs_candidate,source_vs_candidate,method_candidate_verification,cases/PERF/PERF_0007/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0007__postgres.sql,schemas/tpch_perf0007_v0/postgres/ddl.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0007/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0007/candidate.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0007/schema.sql,sqlsolver,jar_cli,EQ,equivalent,completed,1117.1899529872462,30,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0007/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0007/verifier/tools/sqlsolver/perf_0007__postgres__sqlglot_noop__source_vs_candidate__sqlsolver/raw_stdout.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0007/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0007/verifier/tools/sqlsolver/perf_0007__postgres__sqlglot_noop__source_vs_candidate__sqlsolver/raw_stderr.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0007/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0007/verifier/tools/sqlsolver/perf_0007__postgres__sqlglot_noop__source_vs_candidate__sqlsolver/sqlsolver_output.txt,false,true,false,false
PERF_0008,PERF,postgres,sqlglot_noop,noop,track_a_same_engine:PERF_0008:postgres,perf_0008__postgres__sqlglot_noop__source_vs_source__sqlsolver,source_vs_candidate,source_vs_source,identity_sanity,cases/PERF/PERF_0008/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0008__postgres.sql,schemas/tpch_perf0008_v0/postgres/ddl.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0008/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0008/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0008/schema.sql,sqlsolver,jar_cli,EQ,equivalent,completed,1009.1698829783127,30,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0008/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0008/verifier/tools/sqlsolver/perf_0008__postgres__sqlglot_noop__source_vs_source__sqlsolver/raw_stdout.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0008/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0008/verifier/tools/sqlsolver/perf_0008__postgres__sqlglot_noop__source_vs_source__sqlsolver/raw_stderr.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0008/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0008/verifier/tools/sqlsolver/perf_0008__postgres__sqlglot_noop__source_vs_source__sqlsolver/sqlsolver_output.txt,false,true,false,false
PERF_0008,PERF,postgres,sqlglot_noop,noop,track_a_same_engine:PERF_0008:postgres,perf_0008__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver,source_vs_candidate,candidate_vs_candidate,identity_sanity,cases/PERF/PERF_0008/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0008__postgres.sql,schemas/tpch_perf0008_v0/postgres/ddl.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0008/candidate.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0008/candidate.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0008/schema.sql,sqlsolver,jar_cli,EQ,equivalent,completed,1051.372510031797,30,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0008/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0008/verifier/tools/sqlsolver/perf_0008__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver/raw_stdout.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0008/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0008/verifier/tools/sqlsolver/perf_0008__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver/raw_stderr.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0008/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0008/verifier/tools/sqlsolver/perf_0008__postgres__sqlglot_noop__candidate_vs_candidate__sqlsolver/sqlsolver_output.txt,false,true,false,false
PERF_0008,PERF,postgres,sqlglot_noop,noop,track_a_same_engine:PERF_0008:postgres,perf_0008__postgres__sqlglot_noop__source_vs_candidate__sqlsolver,source_vs_candidate,source_vs_candidate,method_candidate_verification,cases/PERF/PERF_0008/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0008__postgres.sql,schemas/tpch_perf0008_v0/postgres/ddl.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0008/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0008/candidate.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0008/schema.sql,sqlsolver,jar_cli,EQ,equivalent,completed,1003.6527250194922,30,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0008/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0008/verifier/tools/sqlsolver/perf_0008__postgres__sqlglot_noop__source_vs_candidate__sqlsolver/raw_stdout.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0008/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0008/verifier/tools/sqlsolver/perf_0008__postgres__sqlglot_noop__source_vs_candidate__sqlsolver/raw_stderr.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0008/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0008/verifier/tools/sqlsolver/perf_0008__postgres__sqlglot_noop__source_vs_candidate__sqlsolver/sqlsolver_output.txt,false,true,false,false
PERF_0013,PERF,postgres,sqlglot_noop,noop,track_a_same_engine:PERF_0013:postgres,perf_0013__postgres__sqlglot_noop__source_vs_source__sqlsolver,source_vs_candidate,source_vs_source,identity_sanity,cases/PERF/PERF_0013/sql/source.sql,runs/user/common_core_pg_noop_db_checker/candidate_sql/PERF_0013__postgres.sql,schemas/tpch_perf0013_v0/postgres/ddl.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0013/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0013/source.sql,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/sqlsolver_inputs/PERF_0013/schema.sql,sqlsolver,jar_cli,EQ,equivalent,completed,1077.0796689903364,30,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0013/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0013/verifier/tools/sqlsolver/perf_0013__postgres__sqlglot_noop__source_vs_source__sqlsolver/raw_stdout.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0013/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0013/verifier/tools/sqlsolver/perf_0013__postgres__sqlglot_noop__source_vs_source__sqlsolver/raw_stderr.txt,/tmp/sqlrb_sqlsolver_pg_noop_all_exact_identity_guard_pass_v0/row_outputs/PERF_0013/results/sqlsolver_pg_noop_all_exact_identity_guard_pass_v0_perf_0013/verifier/tools/sqlsolver/perf_0013__postgres__sqlglot_noop__source_vs_source__sqlsolver/sqlsolver_output.txt,false,true,false,false
