case_id,pool,prior_stage_status,candidate_origin,observed_error_summary,likely_root_cause,primary_category,secondary_category,safe_next_action,blocks_pg_timing_expansion,blocks_mysql_spark_expansion,blocks_full_120_expansion,blocks_paper_facing_promotion
PORT_0003,PORT,no_candidate,no_candidate,Calcite invocation succeeded but emitted no candidate SQL; generation blocker calcite_parse_double_quote_identifier,Calcite parse path rejected quoted identifier syntax for a PORT row,calcite_identifier_quoting_blocker,adapter_runtime_fix_candidate,adapter_quoting_fix_candidate,true,true,true,true
PORT_0004,PORT,no_candidate,no_candidate,Calcite invocation succeeded but emitted no candidate SQL; generation blocker calcite_parse_datetime_keyword_or_ddl_type,DATETIME/type syntax blocked Calcite parsing for a PORT row,datetime_timestamp_syntax_or_type_blocker,adapter_runtime_fix_candidate,datetime_timestamp_mapping_fix_candidate,true,true,true,true
PORT_0005,PORT,no_candidate,no_candidate,Calcite invocation succeeded but emitted no candidate SQL; generation blocker calcite_parse_double_quote_identifier,Calcite parse path rejected quoted identifier syntax for a PORT row,calcite_identifier_quoting_blocker,adapter_runtime_fix_candidate,adapter_quoting_fix_candidate,true,true,true,true
PORT_0008,PORT,no_candidate,no_candidate,Calcite invocation succeeded but emitted no candidate SQL; generation blocker calcite_parse_double_quote_identifier,Calcite parse path rejected quoted identifier syntax for a PORT row,calcite_identifier_quoting_blocker,adapter_runtime_fix_candidate,adapter_quoting_fix_candidate,true,true,true,true
PORT_0012,PORT,no_candidate,no_candidate,Calcite invocation succeeded but emitted no candidate SQL; generation blocker calcite_parse_double_quote_identifier,Calcite parse path rejected quoted identifier syntax for a PORT row,calcite_identifier_quoting_blocker,adapter_runtime_fix_candidate,adapter_quoting_fix_candidate,true,true,true,true
PORT_0022,PORT,no_candidate,no_candidate,Calcite invocation succeeded but emitted no candidate SQL; generation blocker calcite_parse_datetime_keyword_or_ddl_type,DATETIME/type syntax blocked Calcite parsing for a PORT row,datetime_timestamp_syntax_or_type_blocker,adapter_runtime_fix_candidate,datetime_timestamp_mapping_fix_candidate,true,true,true,true
PORT_0025,PORT,no_candidate,no_candidate,Calcite invocation succeeded but emitted no candidate SQL; generation blocker calcite_parse_datetime_keyword_or_ddl_type,DATETIME/type syntax blocked Calcite parsing for a PORT row,datetime_timestamp_syntax_or_type_blocker,adapter_runtime_fix_candidate,datetime_timestamp_mapping_fix_candidate,true,true,true,true
PERF_0035,PERF,mismatch,calcite_rel_to_sql,Source and candidate executed but checker reported mismatch; audit notes column-count/shape mismatch,Generated Calcite candidate changed output shape,calcite_generated_candidate_semantic_mismatch,manual_review_required,manual_case_review,true,true,true,true
PERF_0062,PERF,mismatch,calcite_rel_to_sql,Source and candidate executed but checker reported mismatch; audit notes column-count/shape mismatch,Generated Calcite candidate changed output shape,calcite_generated_candidate_semantic_mismatch,manual_review_required,manual_case_review,true,true,true,true
CONS_0011,CONS,mismatch,calcite_rel_to_sql,Source and candidate executed but checker reported mismatch; audit notes label-only mismatch with values matching but labels differing by case,Generated Calcite candidate changed result labels under strict checker,calcite_generated_candidate_semantic_mismatch,manual_review_required,manual_case_review,true,true,true,true
PORT_0013,PORT,source_execution_failed;schema_fallback_failed,calcite_parse_only_schema_fallback,PostgreSQL source execution failed; schema fallback was generated after unsupported column definition a11 DOUBLE PRECISION,PORT source SQL is not PostgreSQL-executable in this pass and schema fallback should not be executed by default,port_source_dialect_not_pg_executable,schema_fallback_candidate_failed,port_role_scope_policy_needed,true,true,true,true
PORT_0024,PORT,source_execution_failed,calcite_rel_to_sql,PostgreSQL source execution failed; audit notes PORT source SQL uses backtick-style syntax in this PostgreSQL-only pass,PORT source SQL is not PostgreSQL-executable under the current PG-only route scope,port_source_dialect_not_pg_executable,route_scope_should_exclude,port_role_scope_policy_needed,true,true,true,true
CONS_0036,CONS,candidate_execution_failed,calcite_rel_to_sql,Source executed but candidate failed; audit notes quoted mixed-case identifiers such as DEPT/EMP not matching PostgreSQL-loaded relation names,Calcite emitted quoted identifiers incompatible with loaded PostgreSQL schema casing,calcite_identifier_quoting_blocker,calcite_generated_candidate_execution_failure,adapter_quoting_fix_candidate,true,true,true,true
CONS_0037,CONS,candidate_execution_failed,calcite_rel_to_sql,Source executed but candidate failed; audit notes quoted mixed-case identifiers such as DEPT/EMP not matching PostgreSQL-loaded relation names,Calcite emitted quoted identifiers incompatible with loaded PostgreSQL schema casing,calcite_identifier_quoting_blocker,calcite_generated_candidate_execution_failure,adapter_quoting_fix_candidate,true,true,true,true
LONGTAIL_0011,LONGTAIL,candidate_execution_failed,calcite_rel_to_sql,Source executed but candidate failed; audit notes quoted mixed-case identifiers such as Posts or Comments not matching PostgreSQL-loaded relation names,Calcite emitted quoted identifiers incompatible with loaded PostgreSQL schema casing,calcite_identifier_quoting_blocker,calcite_generated_candidate_execution_failure,adapter_quoting_fix_candidate,true,true,true,true
LONGTAIL_0012,LONGTAIL,candidate_execution_failed,calcite_rel_to_sql,Source executed but candidate failed; audit notes quoted mixed-case identifiers such as Posts or Comments not matching PostgreSQL-loaded relation names,Calcite emitted quoted identifiers incompatible with loaded PostgreSQL schema casing,calcite_identifier_quoting_blocker,calcite_generated_candidate_execution_failure,adapter_quoting_fix_candidate,true,true,true,true
LONGTAIL_0013,LONGTAIL,candidate_execution_failed,calcite_rel_to_sql,Source executed but candidate failed; audit notes quoted mixed-case identifiers such as Posts or Comments not matching PostgreSQL-loaded relation names,Calcite emitted quoted identifiers incompatible with loaded PostgreSQL schema casing,calcite_identifier_quoting_blocker,calcite_generated_candidate_execution_failure,adapter_quoting_fix_candidate,true,true,true,true
LONGTAIL_0022,LONGTAIL,candidate_execution_failed;schema_fallback_failed,calcite_parse_only_schema_fallback,Source executed but candidate failed; generation fallback reason unsupported SQL type timestamp,Schema fallback emitted a candidate after unsupported timestamp schema ingestion; execution failure is not trustworthy route evidence,schema_fallback_candidate_failed,datetime_timestamp_syntax_or_type_blocker,schema_fallback_exclude_from_execution,true,true,true,true
LONGTAIL_0023,LONGTAIL,candidate_execution_failed;schema_fallback_failed,calcite_parse_only_schema_fallback,Source executed but candidate failed; generation fallback reason unsupported SQL type timestamp,Schema fallback emitted a candidate after unsupported timestamp schema ingestion; execution failure is not trustworthy route evidence,schema_fallback_candidate_failed,datetime_timestamp_syntax_or_type_blocker,schema_fallback_exclude_from_execution,true,true,true,true
LONGTAIL_0024,LONGTAIL,candidate_execution_failed;schema_fallback_failed,calcite_parse_only_schema_fallback,Source executed but candidate failed; generation fallback reason unsupported SQL type timestamp,Schema fallback emitted a candidate after unsupported timestamp schema ingestion; execution failure is not trustworthy route evidence,schema_fallback_candidate_failed,datetime_timestamp_syntax_or_type_blocker,schema_fallback_exclude_from_execution,true,true,true,true
